userName,rating,date,isEdited,title,review,app_name,app_id,developerResponse
Gerhard_Schneider_7,4,2021-12-10 07:14:30,False,My BMW,"Die App ist intuitiv bedienbar und läuft problemlos auf meinem iPhone. Alle wichtigen Informationen sind übersichtlich und verständlich dargestellt. Leider bleibt es dann auch dabei, denn es gibt keine Möglichkeiten in der App detailliertere Informationen zu erhalten. Ich wünsche mir einen “Spezialisten-Modus” in dem man auch weitergende Informationen beispielsweise zu Verbrauchsdaten (ich nutze ein Hybrid-Fahrzeug) oder auch zum Fahrverhalten in einer ruhigen Stunde abrufen und analysieren könnte.",my-bmw,1519034860,
mw23,2,2021-05-27 13:49:56,False,Leider sehr buggy,"Die neue App sieht zwar optisch moderner aus, aber die alte Connected hat deutlich besser funktioniert. Hier scheint ein neues Team alle Anfängerfehler nochmal machen zu wollen. Ärgerlich, dass die alte bald abgeschaltet wird.

Viele Fehler in letzter Zeit, u.a.: Abmelden und anschließend Anmelden mit anderem Account ging nicht, es wurde immer der vorherige Account angemeldet - egal welches Passwort!! Kopieren von Adressen aus der Karten-App von Apple geht auf manchen Geräten und auf manchen nicht. Korrekt angemeldet (auf einem zweiten iPhone) meckert die App immer, dass der Wagen nicht dem Account zugeordnet ist, obwohl er angezeigt wird.

Jeden Fehler für sich könnte man sagen, ok ein Bug, wird schnell gefixt und gut. Aber die Menge zeigt eher ein mangelndes Verständnis von Qualität und mangelnde Kompetenz im Entwicklerteam. Schade. Sowas ist man sonst von BMW nicht gewohnt. Diese App ist unterm Strich ein Glücksspiel, kann funktionieren oder auch nicht.",my-bmw,1519034860,
Tobi1302,5,2021-07-13 20:24:08,True,Wieder mal Fehler nach einem Update,"Nach dem aktuellen Update wurde jede Menge Tinnef mit eingespielt, aber mein Fahrzeug muss ich erstmal wieder hinzufügen. 
Soll die App was dem Nutzer bieten oder nur Werbung für andere Produkte sein?",my-bmw,1519034860,"{'id': 20479298, 'body': 'Hi \'Tobi1302\'! Danke für Dein Feedback! Wir bedauern, dass Du diese Probleme mit der My BMW App hast! Wenn Du uns Dein Problem möglichst detailliert über ""Feedback senden"" im Menü ""Profil"" meldest, kann unser Entwicklerteam anhand der übermittelten Daten überprüfen, wo genau in Deinem Fall der Fehler liegt. - My BMW App Support Team', 'modified': '2021-07-13T20:24:08Z'}"
o.applefreak,4,2021-03-02 08:24:18,False,Schönes Design und Übersichtlich,"Ich kann mich vielen Vorrednern anschließen wenns um das Design und die Bedienbarkeit geht. Nur eine Sache fehlt mir, die in der alten  App ist und zwar der Klima Timer, liegt es am F01 oder an der App selber. Im ConnectedDrive ist diese Funktion ja da und funktioniert einwandfrei. Oder ist das irgendwo versteckt? Auch die Fahrdaten fehlen leider ansonsten wären es 5 Sterne.",my-bmw,1519034860,"{'id': 21932154, 'body': 'Mit der Version 1.3.2. der My BMW App ist nun auch ein Klimatimer für BMW Fahrzeuge mit Verbrennungsmotor verfügbar, mit dem Du Zeitpunkte festlegen kannst, zu denen Dein BMW für die Fahrt vorklimatisiert oder -geheizt werden soll. Je nach Land, Modell, Produktionsdatum, Softwarestand und gebuchten Sonderausstattungen ist für Deinen BMW anstelle des ""Klimatimer"" ein ""Belüftungs-/Heiztimer"" verfügbar.\r\n', 'modified': '2021-03-29T18:07:38Z'}"
M. Nitz,4,2021-01-15 19:31:40,False,Grundfunktionen vorhanden - Luft nach oben,"Die wichtigsten Funktionen sind da und erfüllen ihren Zweck. Nichts desto trotz, fehlen Funktionen, wie die Anbindung der Apple Watch (in Connected App vorhanden) oder auch eine Übersicht über die Fahrdaten, sprich Durchschnittsverbrauch, rein elektrisch Truck gelegte Kilometer, etc.

Auch optisch könnte die App eine Überarbeitung vertragen. Da ist zum Beispiel die Mercedes App sehr weit vorn. Gerne dürfen auch mehr Daten zum Fahrzeug angezeigt werden oder auch weitere Funktionen integriert werden. Als erstes wäre da zum 

Beispiel die Einbindung der eigenen Apps und Services, wie zum Beispiel BMW Charging oder Financial Services.",my-bmw,1519034860,"{'id': 24574587, 'body': 'Hi! Danke für Dein Feedback! Wir, das My BMW App Team, nehmen Dein Anliegen sehr ernst und möchten Deinem Wunsch nachkommen, in einem der nächsten Releases eine My BMW Apple Watch App anzubieten. Dein Feedback ist dabei extrem wertvoll für uns, um die My BMW Apple Watch App nach Deinen persönlichen Bedürfnissen zu gestalten. Werde Teil der My BMW Apple Watch App Entwicklung, indem Du uns Deine Funktionswünsche in unserer kurzen Umfrage mitteilst. Klicke hier, um loszulegen: https://bit.ly/3fY0Mez. – My BMW App Support Team', 'modified': '2021-08-18T09:31:10Z'}"
@felisalpina,2,2021-08-14 05:11:35,False,Ganz ehrlich?,"Nö.
Warum muss man etwas unfunktionaler machen, und im Gegenzug die Eigenwerbung in der App noch ordentlich schubsen? Wenn wenigstens die App vernünftig funktionieren würde… tut sie aber nicht. Sie versucht zwar, sich irgendwie einzumischen, aber so richtig klappt es dann doch nicht. 
Leider sind mit dem „Upgrade“ auch gute Funktionen wie der Benzinverbrauch verschwunden. Andere Anregungen zum Inhalt sind ja bereits in diversen Kommentaren gemacht worden und ich kann mich dort vollumfänglich anschließen.
Mittlerweile frage ich mich ohnehin, warum man meint, für alles und jedes eine App brauchen zu müssen. Die Website funktioniert prima, was ja prinzipiell ausreicht. Wenn ich also den Shop besuchen will, mache ich dies in Ruhe am Schreibtisch. Und meine Werkstatt rufe ich am liebsten an, aber dort mischt sich mittlerweile ja dann auch noch ein Callcenter ein…
Liebe Programmierer: wenn Ihr was gut machen wollt, dann schaut Euch die Oberfläche und Funktionalität der Vorgängerin an. Wenn so etwas wieder zu haben ist, wäre ich eventuell dabei. Wenn nicht, dann sind meine Finger sehr schnell auf dem roten Button zum Löschen.",my-bmw,1519034860,"{'id': 24557004, 'body': ""Hi '@alpinkatze'! Danke für Dein Feedback! Wir arbeiten stetig an einer Verbesserung der My BMW App und leiten Deine Anregungen an unser Produktteam weiter. - My BMW App Support Team"", 'modified': '2021-08-17T13:15:34Z'}"
kinzi88,5,2021-01-09 09:55:41,False,Cooler Nachfolger - noch nicht perfekt!,"Leider fehlt mir in der neuen App, dass für die Standheizung eine Abfahrtszeit hinterlegt werden kann. Leider kann man nur „Lüften“ auswählen, was dann zum sofortigen Start der Lüftung führt.
Praktischer war hier die alte App, bei der man beispielsweise die Abfahrtszeit des folgenden Tages hinterlegen konnte!",my-bmw,1519034860,"{'id': 21932354, 'body': 'Mit der Version 1.3.2. der My BMW App ist nun auch ein Klimatimer für BMW Fahrzeuge mit Verbrennungsmotor verfügbar, mit dem Du Zeitpunkte festlegen kannst, zu denen Dein BMW für die Fahrt vorklimatisiert oder -geheizt werden soll. Je nach Land, Modell, Produktionsdatum, Softwarestand und gebuchten Sonderausstattungen ist für Deinen BMW anstelle des ""Klimatimer"" ein ""Belüftungs-/Heiztimer"" verfügbar.\r\n', 'modified': '2021-03-29T18:16:44Z'}"
Manä24,3,2021-04-15 08:16:02,False,"Wenig besser, aber einiges schlechter","Der etwas modernere Anstrich mit einer Darstellung schwarz auf weiß verbessert die Lesbarkeit. Allerdings gibt es, ebenso wie in der alten Version, keine Tablet-Version, die den Bildschirm ausnutzt, nur eine Möglichkeit, die Darstellung zu vergrößern. Schade!
Was ich nicht mehr finde, ist die Fußgängernavigation. Das Kartenmaterial, zumindest in der Satellitenansicht ist etwa 5 Jahre alt. Bei der alten Version ist es doch immerhin um etwa 1 Jahr jünger. Soweit nur ein erster Eindruck. Aber er genügt mir, dass ich, solange es geht, mit der alten Version arbeiten werde.",my-bmw,1519034860,
Pink-Yoshi,4,2021-01-27 11:29:56,False,Nicht perfekt aber kann man benutzen,"Die alte App ist viel charismatischer allein wegen dem schwarzen Design. Übersichtlicher ist sie auch man hat alles direkt auf dem ersten Display. 
Die neue App ist frisch und offen aber zu hell. Das Auto ist besser abgebildet detaillierter. Nichtsdestotrotz fehlen Funktionen(z.B. Hupe) welche ich oft benutze. Bitte um Verbesserung sonst ist schon schön aufgemacht.",my-bmw,1519034860,
Patrik K,5,2020-12-03 23:46:39,False,Wird immer besser,Das Entwicklertempo ist mittlerweile beeindruckend. Es sind eine Menge Funktionen hinzugekommen und die App läuft sehr stabil.,my-bmw,1519034860,
Andy53de,5,2021-04-05 08:58:36,False,Alles was ich für meinen I3 brauche,"Die App ist intuitiv, informativ und zeigt mir alles ab was ich wissen muss 👍",my-bmw,1519034860,
pluslux,1,2021-05-14 19:36:36,False,App hat kaum Funktionen im Detail,"Positiv erwähnen kann man ja die optische Gestaltung der App und dass das vorklimatisieren des Autos funktioniert. Ich hätte aber gerne schon Detailinformationen zu meinem Auto, die eigentlich vorliegen, wie man in der alten App wenigstens erahnen kann . Zb. Infos zur gefahrenen Route, Infos zum Verbrauch auf der Strecke, Infos zur Durchschnitts- oder Spitzengeschwindigleit. Ich würde auch gern Lade-/ oder Tankstopps einplanen können oder prognostiziert bekommen, wie die Reichweite wo sein wird auf der Route oder am besten noch was passendes empfohlen bekommen. Es wird auch gar nicht angezeigt, ob die Ladestation frei ist. Wie ist die durchschnittliche Zeit der Pendelstrecke. Verkehrsaufkommenbegründete Alternativen. Also im Prinzip brauchbare Daten über die Verwendung des Autos und nützliche Daten aus dem Netz. Die alte App war schon bisschen dünn und oberflächlich in den Funktionen, aber jetzt ist es ja sogar noch weniger. Ich denke, Ihr könnt den Autobesitzern ruhig ein paar Informationen zutrauen, die werden schon nicht überfordert sein, eher erfreut und interessiert an den Details zur Autoverwendung.",my-bmw,1519034860,"{'id': 22891524, 'body': ""Hi 'pluslux'! Danke für Dein detailliertes Feedback! Schön, dass Dir die My BMW App gefällt. Bisher beliebte und neue Features folgen in künftigen Releases. Wir informieren über neue Features in den App Release Notes.  Wir leiten Deine Anregungen an unser Produktteam weiter. - My BMW App Support Team \r\n"", 'modified': '2021-05-19T08:47:33Z'}"
Dr.W.67,3,2021-04-09 08:20:21,False,Verbesserungsvorschläge,"Verbesserungsvorschläge:
Das Zeitfenster zum Laden sollte unabhängig von einer Abfahrtszeit eingestellt werden können. Wäre z.B. sinnvoll, um möglichst Strom der eigenen PV- Anlage nutzen zu können.
Eine eingestellte Klimatisierung sollte auch wieder ausgeschaltet werden können. Das sollte sowohl vor dem Start der Klimatisierung als auch nach dem Start der Klimatisierung möglich sein.
Im Startfenster, d.h. im Dashboard sollten mehr Kennzahlen direkt sichtbar sein, ohne wischen zu müssen. Z.B. könnten Kombinierte Reichweite, Ladezustand, Tankfüllstand und weitere Informationen angezeigt werden, wenn das Bild des Autos verkleinert wird und der große frei Platz am oberen Bildschirmrand entfallen würde.",my-bmw,1519034860,"{'id': 22334543, 'body': ""Hi 'Dr.W.67'! Danke für Dein ausführliches Feedback! Deine Anregungen geben wir an unser Produktteam weiter. - My BMW App Support Team \r\n"", 'modified': '2021-04-19T18:52:06Z'}"
Prof213141,4,2021-05-01 08:17:27,False,Nix gelernt!,"Liebes Entwickler-Team,
die App habe ich versucht von Anfang an zu verwenden, auch wenn einige nervige bugs dabei waren und die Anmeldung der Fahrzeuge super kompliziert gemacht wurde. Die App übernimmt die Daten aus der alten App nicht und, was noch schlimmer ist, „vergisst“ die angemeldete Fahrzeuge nach einer gewissen Zeit. Dann müssen die Autos zur Anmeldung neu gestartet werden und der Empfang muss da sein (Thema Garage?!).
Nach zwei solcher Aktionen innerhalb eines Jahres sage ich nur eins - absoluter Schrott!!! Das nervt. Finger weg.",my-bmw,1519034860,
wkoch11,5,2021-03-27 07:54:56,False,Gute App verschlimmbessert!,Die App ist erheblich attraktiver gestaltet als zuvor. Allerdings fehlt u.a. die Übernahme der Termine aus dem Kalender ins Navigationssystem. Hoffe auf Nachbesserung!,my-bmw,1519034860,"{'id': 21974516, 'body': ""Hi 'wkoch11'! Danke für Dein Feedback! Schön, dass Dir das Design der My BMW App gefällt. Eine Kalenderintegration und weitere Funktionen folgen in künftigen Releases der My BMW App. Wir informieren über neue Funktionen immer in den App Release Notes. - My BMW App Support Team "", 'modified': '2021-03-31T15:02:37Z'}"
TheB3njamin,5,2021-04-27 08:33:02,False,Kommunikation mit Fahrzeug schlecht,"Funktionalität und Optik passen. „An meinen BMW schicken“ wenn ich eine Adresse in der App eingegeben habe funktioniert extrem zeitverzögert oder garnicht. War bei der „Connected Drive“-App nie ein Problem. Hier sehr enttäuschen. Auch andere Feature wie das Surroundview Feature fehlen im Vergleich. JA es macht Sinn nur eine App zu haben, NEIN es macht keinen Sinn die schlechtere zu behalten und Feature nicht zu übernehmen",my-bmw,1519034860,"{'id': 22573733, 'body': 'Hi \'TheB3njamin\'! Danke für Dein Feedback! Schön, dass Dir das Design der My BMW App gefällt!  Wir bedauern, dass Du aktuell Probleme hast Ziele an Dein Fahrzeug zu senden! Anderen Nutzern hat Folgendes geholfen: Aktualisiere die OAP Apps direkt in Deinem Fahrzeug via ""Apps "" - ""Installierte Apps""  - ""Option""  - ""Update Apps"". Sollte das Problem weiterhin auftreten, melde es uns über ""Feedback senden"" im Menü ""Profil"". Du findest den Remote 3D View neben dem ""Belüftungstimer"" im Auswahlmenü unterhalb des Fahrzeugbildes im Menü ""Fahrzeug"". Wische nach links um zwischen den Kacheln zu wechseln. - My BMW App Support Team\r\n', 'modified': '2021-05-02T10:41:04Z'}"
