developerResponse,userName,title,date,rating,review,isEdited,app_name,app_id
"{'id': 19171924, 'body': 'Hallo Conleki, wir freuen uns, dass Sie sich die Zeit nehmen, uns zu kontaktieren und wir nutzen Ihr Feedback, um das Produkt besser zu machen! Wir möchten Ihnen helfen, Ihre Schwierigkeiten zu lösen. Sie können unser Team über die Schaltfläche "" Assistent "" innerhalb der App oder über FPDEU@ford.com kontaktieren. Ihr FordPass Team', 'modified': '2020-11-17T18:36:39Z'}",Conleki,App macht Akku leer,2020-11-16 16:25:08,2,"Die aktuelle Version leert den Akku eines iPhone XR extrem schnell. Dieses Problem gab es schon in einer früheren Version der App. Nun tritt es mit der aktuellen Version erneut auf. Leider ist es oft so das bereits abgestellte Fehler mit einer neuen Version dieser App wieder auftreten. Mir ist absolut schleierhaft warum die Firma Ford diese Themen nicht in den Griff bekommt. Leider bleiben Mails an den Kundenservice oft nur bei Standardrückmeldungen stecken. Eine Rückmeldung das ein Problem nun gefixt sei habe ich bei allen Meldungen noch nie erhalten. ;-(. Die Funktionen der App wären ja klasse, aber sie funktionieren oft nicht zuverlässig. Dass zum Beispiel die Apple Watch Integration nicht fehlerfrei funktioniert habe ich bereits mehrfach gemeldet. Es gab mehrere Updates aber die Probleme sind nach wie vor nicht behoben. So darf Kundenservice in 2020 einfach nicht aussehen.",False,fordpass,1141464928
,Web-Pilot,Positive Entwicklung,2022-04-09 08:05:38,4,Die App entwickelt sich so langsam. Einige Dinge sind jedoch weiterhin eigenartig. Die App zeigt mir ein FordPowerUp update auf 2.3.0 an und im Fahrzeug wird seit 10 Tagen immer noch 2.1.0 angezeigt. Die Features im Fahrzeug sprechen jedoch für 2.3.0 (zB tageweise Updateplanung und waagerechter Lautstärkebalken). Die zum Teil immer noch englischen Texte und teilweise seltsamen Übersetzungen (im Bereich Datenschutz steht statt März „ Marsch“) Dies zeigt m.E. das die Qualitätskontrollen bei der Softwareentwicklung immer noch ein Manko darstellen.,False,fordpass,1141464928
"{'id': 12082576, 'body': 'Hallo GN-1000, vielen Dank für Ihren Kommentar. Wir freuen uns, dass Ihnen die App gefällt und wir nutzen Ihr Feedback, um das Produkt besser zu machen! Wir arbeiten intensiv daran, immer mehr neue Funktionen hinzuzufügen. Erwarten Sie zukünftig weitere nützliche und verbesserte Features in der FordPass App! \r\nMit freundlichen Grüßen - Ihr Ford Pass Team.\r\n', 'modified': '2019-11-27T10:58:29Z'}",GN-1000,Sehr gute App. Leider Probleme mit iOS 13.2,2019-11-26 20:24:31,4,"Sehr gute App. Aber leider startet sie seit dem letzten Update nicht mehr, jedenfalls auf meinem iPhone 11 Pro Max mit iOS 13.2. das wird aber sicher bald behoben werden.

Nachtrag: Problem gelöst. App deinstallieren und wieder neu installieren. Dann funktioniert es.",False,fordpass,1141464928
"{'id': 20960323, 'body': 'Hallo rf090682, wir freuen uns, dass Sie sich die Zeit nehmen, uns zu kontaktieren und wir nutzen Ihr Feedback, um das Produkt besser zu machen! Wir möchten Ihnen helfen, Ihre Schwierigkeiten zu lösen. Sie können unser Team über die Schaltfläche "" Assistent "" innerhalb der App oder über FPDEU@ford.com kontaktieren. Ihr FordPass Team', 'modified': '2021-02-09T17:28:40Z'}",rf090682,Immer wieder Probleme ☹️,2021-02-07 11:38:50,5,"Immer wieder habe ich Probleme mit der App 
Und immer wieder muss ich neu installieren 😩
Das nervt langsam. Jetzt geht gar nicht mehr an 😖
Das heißt wieder neu installieren 🤷‍♂️",False,fordpass,1141464928
"{'id': 19199687, 'body': 'Hallo znoppi, wir freuen uns, dass Sie sich die Zeit nehmen, uns zu kontaktieren und wir nutzen Ihr Feedback, um das Produkt besser zu machen! Wir möchten Ihnen helfen, Ihre Schwierigkeiten zu lösen. Sie können unser Team über die Schaltfläche "" Assistent "" innerhalb der App oder über FPDEU@ford.com kontaktieren. Ihr FordPass Team', 'modified': '2020-11-18T18:33:56Z'}",znoppi,Aktualisierung,2020-11-17 11:57:20,5,"Nach dem erneuten Update funktioniert die App nicht mehr. Es kommt beim starten direkt eine Fehlermeldung Time Out. 
Bevor man solche schlechten Aktualisierungen frei gibt, sollte man sie erst einmal richtig testen. 
Deshalb auch nur 1 Stern, vergeben würde ich sonst 0",False,fordpass,1141464928
"{'id': 20897065, 'body': 'Hallo, am besten richten Sie Ihre Anfrage direkt an das FordPass Team. Sie können uns via E-Mail, per Telefon oder über unseren Chat erreichen. In Ihrer FordPass App im Menüpunkt ""Assistent"" gibt es den jeweiligen Button dafür. Sie erreichen uns auch unter unserer E-Mail-Adresse: ""fpdeu@ford.com"". Unser Team unterstützt Sie gerne bei der Handhabung mit der FordPass App. Zudem haben wir dann auch die Möglichkeit, unsere technische Fachabteilung zu kontaktieren. Wir stehen Ihnen gerne mit Rat und Tat zur Seite. Ihr FordPass Team.', 'modified': '2021-02-06T15:47:42Z'}",fattoni.ab,So leider immer noch nicht,2020-05-30 20:16:42,2,"Leider hat sich seit dem neuesten Update nicht wirklich viel verbessert. Die Abstürze bleiben, nur jetzt an anderer Stelle. So hängt sich die App jedesmal auf, wenn ich von der Apple-Watch auf die Fernfunktionen des Fahrzeugs zugreifen möchte. Sie startet zwar selbstständig wieder neu, jedoch muss ich mich wieder mit meinem Benutzernamen und Passwort anmelden. Somit ist der Zugriff per Watch ziemlich sinnfrei.
Wer kommt denn eigentlich auf die Idee, die Werte des Reifenluftdrucks einstellig darzustellen? Was soll man denn damit anfangen? 
Leider ist Ford anscheinend nicht in der Lage, für ein tolles Auto, auch eine ebenso tolle App zu programmieren. 
Die Idee mit den Funktionen ist klasse (Fernstart, Fernöffnen und -schließen und die Darstellung der Messwerte usw. ). 
Allerdings möchte ich die Funktionen auch nutzen und das sofort. Nicht erst, nachdem ich die App dreimal neu starten musste.",False,fordpass,1141464928
"{'id': 4078878, 'body': 'Hallo lieber David, vielen Dank für Ihre Rückmeldung. Wir haben bereits das login verbessert, eine erneute Eingabe der Zugangsdaten ist für Bikesharing jetzt nicht mehr notwendig. Liebe Grüße. MG', 'modified': '2018-07-03T18:40:51Z'}",David Salm,"Gut, aber Umständlich",2018-06-05 12:11:06,3,"An sich eine gute App mit vielen nützlichen Funktionen.

Allerdings bringt die Idee, viele Funktionen unter einem Dach zu vereinen, auch mit sich, dass die Wege zum Ziel etwas kompliziert sind und lang dauern.

Konkrete Kritik: seit dem neuen Update speichert das BikeSharing das Passwort partout nicht mehr. Sorry, aber ich will nicht jedes einzelne Mal Kundennummer und Passwort eingeben müssen. Das Bikesharing lebt eben auch ein wenig davon, schnell benutzbar zu sein. In der Zeit, die es jetzt dauert, bis man nach Durchklicken und Kundennumer/Passwort raussuchen irgendwann mal auf dem Fahrrad sitzt, kann man auch die U-Bahn nehmen. Bitte wieder ändern und das Passwort speichern!",False,fordpass,1141464928
"{'id': 20896214, 'body': 'Hallo Güvi, wir freuen uns, dass Sie sich die Zeit nehmen, uns zu kontaktieren und wir nutzen Ihr Feedback, um das Produkt besser zu machen! Wir möchten Ihnen helfen, Ihre Schwierigkeiten zu lösen. Sie können unser Team über die Schaltfläche ""Assistent"" innerhalb der App oder über FPDEU@ford.com kontaktieren. Ihr FordPass Team', 'modified': '2021-02-06T14:11:44Z'}",Güvi,Alles bestens👍,2020-01-18 18:48:00,5,"An alle die meckern das die Funktionen weg sind und Absturz Probleme haben: App deinstallieren und neu installieren,
läuft dann wieder wie gewohnt und die Funktionen sind auch da. Gruß Güvi",False,fordpass,1141464928
"{'id': 19549814, 'body': 'Hallo Erteroel, wir freuen uns, dass Sie sich die Zeit nehmen, uns zu kontaktieren und wir nutzen Ihr Feedback, um das Produkt besser zu machen! Wir möchten Ihnen helfen, Ihre Schwierigkeiten zu lösen. Sie können unser Team über die Schaltfläche "" Assistent "" innerhalb der App oder über FPDEU@ford.com kontaktieren. Ihr FordPass Team', 'modified': '2020-12-04T19:40:09Z'}",Erteroel,Leider nicht mehr zu gebrauchen,2020-12-02 13:29:35,5,"Leider behauptet die App auch nach dem letzten Update mein Auto sei nicht aktiviert, obwohl alle Einstellungen im Fahrzeug sowie der App in Ordnung sind.

Schade",False,fordpass,1141464928
"{'id': 4596323, 'body': 'Hallo Vogel0815,\nvielen Dank für Ihren Vorschlag, welchen wir, wie wir es mit allen Ideen unserer Kunden machen, aufgenommen und weitergeleitet haben. Wir bitten um Ihr Verständnis, sofern Ihr Vorschlag nicht umgesetzt wurden ist; wir erhalten täglich eine Vielzahl von Verbesserungsvorschlägen welche wir selbstverständlich ausgiebig diskutiern und prüfen müssen. Ebenso hoffen wir, dass die Qualität unseres Live Trackings im Zuge unserer Überarbeitungen bis zum heutigen Tag Ihren Anforderungen entspricht oder sich diesen angenähert hat. Liebe Grüße. AM', 'modified': '2018-08-09T14:13:18Z'}",Vogel0815,Verbesserungsvorschlag,2018-04-06 17:18:10,5,"Die Echtzeitverkehrsanzeige könnte zuverlässiger arbeiten. Sie erreicht nicht die Qualität von Apple Maps oder Here Maps.

+ Widget Funktion für die aktuellen Spritpreise in der Umgebung bzw Favoritentankstellen. 

Alternativ Tankpreise im Sync3 auf der Karte darstellen so muss man nicht gefährlich mit dem Telefon herumhantieren!",False,fordpass,1141464928
"{'id': 4599226, 'body': 'Hallo wieher52, es tut uns sehr leid, dass die neue Version nicht mehr mit dem iPhone 5 kompatibel ist. Wir bedanken uns vielmals für Ihre Rückmeldung. Liebe Grüße. AM', 'modified': '2018-08-09T19:55:06Z'}",wieher52,Alte/neue Version,2018-06-30 17:03:35,4,"Leider ist die neue Version nicht mit iPhone 5c kompatibel. Die alte wurde selbstständig überschrieben und ist weg. Schade, war bisher sehr zufrieden 😥",False,fordpass,1141464928
"{'id': 5289660, 'body': 'Hallo Hjn60, vielen Dank für Ihre positive Rückmeldung und Bewertung! Es freut uns sehr, dass alles wieder funktioniert. Viel Spaß noch mit der App! Gute Fahrt und viele Grüße, JB', 'modified': '2018-09-29T17:15:38Z'}",hjn60,Geht wieder,2018-09-28 16:56:36,4,Nach ein paar Wochen geht sie wieder. Jetzt sind die Sterne gerechtfertigt die App ist gut und übersichtlich ohne Schnickschnack 👍,False,fordpass,1141464928
"{'id': 13196080, 'body': 'Hallo Julia H. 1981, Danke für Deinen Hinweis. Vielleicht hilft es Dir einfach die automatische Fahrtenaufzeichnung zu deaktivieren. Bei weiteren Fragen wende Dich doch einfach per Mail an uns. Dein FordPass Team', 'modified': '2020-01-30T08:37:12Z'}",Julia H. 1981,"Stabil, aber mit Luft nach oben",2020-01-27 07:42:19,3,"Die App läuft zwar mittlerweile stabil, doch mag mein Focus sich trotz täglichen Fahrtzeiten über 60 Minuten nicht updaten.
Einige Funktionen können noch verbessert werden. So muss ich z.B. keine Aufzeichnung der „Fahrtstrecke“ haben, wenn ich auf der Arbeit von einem Gebäude ins andere laufe und mein Handy dabei in der Tasche haben. Mein Auto wartet dabei friedlich schlummernd auf dem Parkplatz. Vielleicht kann man die Funktion dahingehend verbessern, dass die Fahrten nur dann aufgezeichnet werden, wenn die App mit dem Fahrzeug verbunden ist.
Daher erstmal nur 3 Sterne.",False,fordpass,1141464928
"{'id': 1570464, 'body': 'Lieber FordPass Kunde. Danke für Ihre positive Bewertung. Wir bedanken uns herzlich und freuen uns Ihnen die App im großen und ganzen gefällt. Den Tankstoff müssen Sie in der Tat jedes mal neu Einstellen. Da dies nicht das erste mal ist das uns dies mittgeteilt wurde wird dies hoffentlich in naher Zukunft geändert. Andere Erneuerungen wie Sync Updates kommen hoffentlich auch hinzu. Liebe Grüße. JV', 'modified': '2017-10-24T06:42:31Z'}",TOMDULI 1968,Tut was es soll,2017-10-09 18:58:36,5,"Benutze Car sharing usw. nicht .Bei Tanken wähle ich Diesel ,soweit gut ,aber bei erneutem öffnen ist wieder super da. Bei ,meinem Fahrzeug ,wär auch interessant Inspektionen und was dabei gemacht wird und evtl. Updates für Sync usw.",False,fordpass,1141464928
"{'id': 4578475, 'body': 'Wir bedauern das die Funktionen für Sie immer noch nicht funktionieren. Bitte Laden die die neusten Versionen der App herunter. Diese sollten die Probleme beheben. Liebe Grüße. JV', 'modified': '2019-09-24T19:14:16Z'}",schwalli85,funktioniert nicht mit iOS 13,2019-09-24 19:14:16,5,Seitdem Update und Handy-Tausch mit IOS 13 kann ich mich nicht mehr einloggen. Deinstallieren und neu installieren brachte keinen Erfolg... schade,True,fordpass,1141464928
"{'id': 2145268, 'body': 'Hi DN86P5, danke für Ihre ehrliche Bewertung. Das Ziel von Ford ist es die Mobilität zu vereinfachen. Ein Part zum Erreichen dieses Ziels ist es alles über eine App greif bereit zu haben. Ein paar Prozesse wurden schon vereinfacht und wir sind zuversichtlich das FordPass in Zukunft noch Benutzerfreundlicher wird. Liebe Grüße und frohe Festtage. JV', 'modified': '2017-12-27T15:38:22Z'}",DN86P5,Sehr anstrengende App,2017-12-16 23:15:44,4,"Die Idee ist schick, nur versucht ihr in der App zu viel auf einmal zu kombinieren, sodass das ganze unnötig aufwändig, und dazu noch langsam wird.
Auch konnte ich mich nicht Fehlerfrei registrieren, und der Kundenservice arbeitet natürlich nur 9 to 5 (wirklich gut gemacht, ich freue mich, dass ihr an den richtigen Ecken spart 👍🏻).
Alles in allen eine schöne Idee, bin aber inzwischen so unzufrieden, dass ich herzlich empfehle zu egal welchem Wettbewerber zu wechseln, falls vorhanden.",False,fordpass,1141464928
"{'id': 3132164, 'body': 'Lieber FordPass Kunde, danke für Ihre Bewertung. Wir bedauern das Sie seid dem letzten Update Probleme mit der Sync Verbindung haben. Bitte Laden Sie die Version 1.14.3 herunter. Diese Version kümmert sich um die Fehler und Sync 3 läuft damit besser. Wir bedanken uns auch für Ihre bisherige Geduld und wünschen Ihnen ein schönes Wochenende. Liebe Grüße. JV', 'modified': '2018-04-14T19:06:02Z'}",MMDB3,Ist ganz ok!,2018-03-22 13:07:55,4,Seit dem letzten Update (Version 1.14.2) funktioniert sie mal wieder und lässt sich auch mit Sync 3 verbinden. Leider war dies  in letzter Zeit alles andere als selbstverständlich. 😢 Ich hoffe das bleibt jetzt auch mal eine Weile so.,False,fordpass,1141464928
"{'id': 4078106, 'body': 'Lieber FordPass Kunde, danke für Ihre Rückmeldung. Wir bedauern, dass Sie Probleme mit der App haben. Wir arbeiten permanent an der Verbesserung der App und haben mit einem Update einige Probleme behoben. Bitte verwenden Sie die aktuelle iOS-Version. Liebe Grüße. MG', 'modified': '2019-07-28T03:10:47Z'}",18 bruno,Anmeldung,2019-07-28 03:10:47,5,"Anmeldung mit iPhone nicht möglich, lt. App keine Verbindung zum Netzwerk",True,fordpass,1141464928
"{'id': 4596216, 'body': 'Lieber FordPass Kunde, es freut uns zu hören, dass Ihnen die App gefällt. Wir arbeiten ständig an Verbesserungen und hoffen die App bedienungsfreundlich und übersichtlich für unsere Kunden zu gestalten. Ihre Verbesserungsvorschläge werden wir uns genau anschauen und prüfen, wie wir diese umsetzten können. Vielen Dank. Liebe Grüße. AM', 'modified': '2018-08-09T14:04:03Z'}",Dirty-flow,Bisschen überfrachtet,2018-06-26 13:03:43,4,"Endlich läuft die App stabil. Sie bietet einige nützlichen Funktionen, aber es gibt auch viele, die unnötig sind. Andere Funktionen sind nicht ganz inuitiv und man muss 10 mal klicken, um ans Ziel zu gelangen.",False,fordpass,1141464928
"{'id': 20895431, 'body': 'Hallo Dammerl, am besten richten Sie Ihre Anfrage direkt an das FordPass Team. Sie können uns via E-Mail, per Telefon oder über unseren Chat erreichen. In Ihrer FordPass App im Menüpunkt ""Assistent"" gibt es den jeweiligen Button dafür. Sie erreichen uns auch unter unserer E-Mail-Adresse: ""fpdeu@ford.com"". Ihr FordPass Team.\r\n', 'modified': '2021-02-06T12:24:58Z'}",Dammerl 13,Super Sache,2019-03-14 19:59:20,5,"Bin sehr begeistert von FordPass.
Ich nutze sie für meinen Ford Focus Turnier und den Ford Edge.
Die Funktion mit dem zusperren oder auch Fahrzeug starten über die App ist eine super Sache. Was ich persönlich super finden würde, wenn die Taste zum aktualisieren etwas größer wäre. Was spricht dagegen? Ich meine den Kreis mit dem Pfeil unter dem jeweiligen Fahrzeug.

App läuft bei mir immer noch so flüssig wie vor dem Update. Ich nutze die App täglich und sie läuft und läuft und läuft ....",False,fordpass,1141464928
"{'id': 2381457, 'body': 'Hi, danke für Ihre Rückmeldung. Wir schätzen das und Arbeiten täglich daran die App zu verbessern. Die Einstellung des Tank-Stoffs wird vielleicht in Zukunft speicherbar sein. Rückmeldung dieser Art helfen uns die App noch Nutzer freundlicher zu machen. Vielen Dank und liebe Grüße. JV', 'modified': '2018-01-23T18:43:12Z'}",thiesthies,Nicht alles sinnvoll,2018-01-08 05:08:30,3,"Die App ist ganz ok und hat einige Funktionen die sicherlich ganz gut sind, wenn man Sie nutzt (carsharing). Ich nutze die App z.b. für die Anzeige der Preise an den Tankstellen und da gibt es klar bessere Apps. Hier wird z.b. Die Auswahl der Spritsorte nicht gespeichert, so das man bei jedem Mal „Tanken“ auswählen wieder die Spritsorte wählen muss, was echt nervig ist. Die zu sammelnden Badges in der App sind ziemlich wertlos und bringen einen nicht weiter. Parkplatz speichern können andere Apps auch. Ford sollte die App auf das reduzieren, was Ford auch wirklich anbietet.",False,fordpass,1141464928
"{'id': 18075666, 'body': 'Hallo Maili23, es tut uns leid, dass Sie Schwierigkeiten mit der FordPass App haben. Haben Sie schon die neue FordPass App 3.9.0 ausprobiert? Andernfalls wenden Sie sich über die Schaltfläche ""Assistent""  oder FPDEU@ford.com an unser Support-Team, das Ihnen gerne weiterhelfen wird. Mit freundlichen Grüßen Ihr FordPass Team', 'modified': '2022-02-16T07:44:38Z'}",Maili23,Die App ist anscheinend immer noch im Beta Status,2022-02-16 07:44:37,3,"Ich nutze die App in Verbindung mit meinem Ford Focus Turnier (Modell 2021). Es ist die App, welche ich mi Abstand am häufigsten deinstallieren und wieder installieren musste. Eine Zeitlang funktionierte die Fahrtenaufzeichnung nicht und was mich sehr verwundert ist die Ab- und wieder Freischaltung von Funktionen. Mal war es die Reifendruckanzeige, welche in der App nicht verfügbar war, seit geraumer Zeit ist es die Öl  / Wartungsanzeige. Ich gebe zu, alles nur Spielerei und in es hat keinen wirklichen Nutzen in der App, da die Anzeige im Ford selbst funktioniert. Es ist allerdings müßig, sich ständig an ein neues Layout, und verfügbare Funktionen zu gewöhnen. Liebe Entwickler, wo ist hier der rote Faden? Was soll die fertige App mal leisten?",True,fordpass,1141464928
